ID	Samples	Layer	Depth	Location	Position	Site
F01	F01	0-5	5	Turn	Upstream	F
F02	F02	5-9	10	Turn	Upstream	F
F03	F03	9-13	15	Turn	Upstream	F
F04	F04	13-17	15	Turn	Upstream	F
F05	F05	17-22	20	Turn	Upstream	F
F06	F06	22-26	25	Turn	Upstream	F
H2_1	H2_1	0-5	5	Left	Upstream	H2
H2_2	H2_2	5-10	10	Left	Upstream	H2
H2_3	H2_3	10-15	15	Left	Upstream	H2
H2_4	H2_4	15-20	20	Left	Upstream	H2
H2_5	H2_5	20-25	25	Left	Upstream	H2
H2_6	H2_6	25-29	30	Left	Upstream	H2
I1_1	I1_1	0-5	5	Left	Upstream	I1
I1_2	I1_2	5-10	10	Left	Upstream	I1
I1_3	I1_3	10-15	15	Left	Upstream	I1
I1_4	I1_4	15-20	20	Left	Upstream	I1
I1_5	I1_5	20-25	25	Left	Upstream	I1
I1_6	I1_6	25-29	30	Left	Upstream	I1
B01	B01	0-1	5	Right	Downstream	B
B02	B02	1-2	5	Right	Downstream	B
B03	B03	2-3	5	Right	Downstream	B
B04	B04	3-4	5	Right	Downstream	B
B05	B05	4-5	5	Right	Downstream	B
B06	B06	5-6	10	Right	Downstream	B
B07	B07	6-7	10	Right	Downstream	B
B08	B08	7-8	10	Right	Downstream	B
B09	B09	8-9	10	Right	Downstream	B
B10	B10	9-10	10	Right	Downstream	B
B11	B11	10-11	15	Right	Downstream	B
B12	B12	11-12	15	Right	Downstream	B
B13	B13	12-13	15	Right	Downstream	B
B14	B14	13-14	15	Right	Downstream	B
B15	B15	14-15	15	Right	Downstream	B
B16	B16	15-16	20	Right	Downstream	B
B17	B17	16-17	20	Right	Downstream	B
B18	B18	17-18	20	Right	Downstream	B
B19	B19	18-19	20	Right	Downstream	B
B20	B20	19-20	20	Right	Downstream	B
B21	B21	20-21	25	Right	Downstream	B
B22	B22	21-22	25	Right	Downstream	B
B23	B23	22-23	25	Right	Downstream	B
B24	B24	23-24	25	Right	Downstream	B
B25	B25	24-25	25	Right	Downstream	B
E01	E01	0-1	5	Right	Upstream	E
E02	E02	1-2	5	Right	Upstream	E
E03	E03	2-3	5	Right	Upstream	E
E04	E04	3-4	5	Right	Upstream	E
E05	E05	4-5	5	Right	Upstream	E
E06	E06	5-6	10	Right	Upstream	E
E07	E07	6-7	10	Right	Upstream	E
E08	E08	7-8	10	Right	Upstream	E
E09	E09	8-9	10	Right	Upstream	E
E10	E10	9-10	10	Right	Upstream	E
E11	E11	10-11	15	Right	Upstream	E
E12	E12	11-12	15	Right	Upstream	E
E13	E13	12-13	15	Right	Upstream	E
E14	E14	13-14	15	Right	Upstream	E
E15	E15	14-15	15	Right	Upstream	E
E16	E16	15-16	20	Right	Upstream	E
E17	E17	16-17	20	Right	Upstream	E
E18	E18	17-18	20	Right	Upstream	E
E19	E19	18-19	20	Right	Upstream	E
E20	E20	19-20	20	Right	Upstream	E
E21	E21	20-21	25	Right	Upstream	E
E22	E22	21-22	25	Right	Upstream	E
E23	E23	22-23	25	Right	Upstream	E
E24	E24	23-24	25	Right	Upstream	E
E25	E25	24-25	25	Right	Upstream	E
N01	N01	0-1	5	Left	Downstream	N
N02	N02	1-2	5	Left	Downstream	N
N03	N03	2-3	5	Left	Downstream	N
N04	N04	3-4	5	Left	Downstream	N
N05	N05	4-5	5	Left	Downstream	N
N06	N06	5-6	10	Left	Downstream	N
N07	N07	6-7	10	Left	Downstream	N
N08	N08	7-8	10	Left	Downstream	N
N09	N09	8-9	10	Left	Downstream	N
N10	N10	9-10	10	Left	Downstream	N
N11	N11	10-11	15	Left	Downstream	N
N12	N12	11-12	15	Left	Downstream	N
N13	N13	12-13	15	Left	Downstream	N
N14	N14	13-14	15	Left	Downstream	N
N15	N15	14-15	15	Left	Downstream	N
N16	N16	15-16	20	Left	Downstream	N
N18	N18	17-18	20	Left	Downstream	N
N19	N19	18-19	20	Left	Downstream	N
N20	N20	19-20	20	Left	Downstream	N
D01	D01	0-1	5	Right	Upstream	D
D02	D02	1-2	5	Right	Upstream	D
D03	D03	2-3	5	Right	Upstream	D
D04	D04	3-4	5	Right	Upstream	D
D05	D05	4-5	5	Right	Upstream	D
D07	D07	6-7	10	Right	Upstream	D
D08	D08	7-8	10	Right	Upstream	D
D09	D09	8-9	10	Right	Upstream	D
D10	D10	9-10	10	Right	Upstream	D
D11	D11	10-11	15	Right	Upstream	D
D12	D12	11-12	15	Right	Upstream	D
D13	D13	12-13	15	Right	Upstream	D
D14	D14	13-14	15	Right	Upstream	D
D15	D15	14-15	15	Right	Upstream	D
D16	D16	15-16	20	Right	Upstream	D
D17	D17	16-17	20	Right	Upstream	D
D18	D18	17-18	20	Right	Upstream	D
D19	D19	18-19	20	Right	Upstream	D
D20	D20	19-20	20	Right	Upstream	D
D21	D21	20-21	25	Right	Upstream	D
D22	D22	21-22	25	Right	Upstream	D
D23	D23	22-23	25	Right	Upstream	D
D24	D24	23-24	25	Right	Upstream	D
D25	D25	24-25	25	Right	Upstream	D
D26	D26	25-26	25	Right	Upstream	D
